,curr_iteration,loss,viol,best_loss,temp,accept,move_gen,move_type,move_target,move_dur,elapsed,retry
58,58,-0.651560525135,0,,0.195348147541,False,propose_addition,Addition,,0.588761185994,14.250706169,4.0
59,59,-0.664482691586,0,,0.186361262021,True,propose_reinit_pose,ReinitPoseMove,,0.116380499967,14.367226781,0.0
60,60,-0.664482691586,0,,0.177787813292,,propose_addition,Addition,,0.469684002979,14.837044065,5.0
61,61,-0.664482691586,0,,0.16960878142,,propose_addition,Addition,,0.446599337971,15.283808308,5.0
62,62,-0.664482691586,0,,0.161806021471,,propose_addition,Addition,,0.486503008986,15.770436352,5.0
63,63,-0.664482691586,0,,0.154362223258,False,propose_addition,Addition,,0.59752257599,16.368088524,4.0
64,64,-0.664482691586,0,,0.147260872943,,propose_addition,Addition,,0.461286742997,16.829524727,5.0
65,65,-0.664482691586,0,,0.140486216396,False,propose_addition,Addition,,0.395875593997,17.22553743,2.0
66,66,-0.631425226143,0,,0.134023224247,True,propose_translate,TranslateMove,,0.125921437982,17.351602018,4.0
67,67,-1.73915702256,0,,0.127857558544,True,propose_deletion,Deletion,,0.0922812689678,17.444018237,0.0
68,68,-1.73915702256,0,,0.121975540947,False,propose_relation_plane_change,RelationPlaneChange,,0.0959404279711,17.540105839,0.0
69,69,-1.73915702256,0,,0.116364122377,,propose_addition,Addition,,0.451947791036,17.992186921,5.0
70,70,-1.73915702256,0,,0.111010854073,False,propose_addition,Addition,,0.186331478995,18.178641992,0.0
71,71,-1.73915702256,0,,0.105903859972,,propose_addition,Addition,,0.444220862992,18.623010033,5.0
72,72,-1.73915702256,0,,0.101031810364,False,propose_reinit_pose,ReinitPoseMove,,0.102297512989,18.725432636,0.0
73,73,-1.73915702256,0,,0.0963838967539,False,propose_relation_plane_change,RelationPlaneChange,,0.0949624189525,18.820549425,0.0
74,74,-1.73915702256,0,,0.0919498078874,False,propose_reinit_pose,ReinitPoseMove,,0.111206312024,18.931890175,0.0
75,75,-1.94130359598,0,,0.0877197068729,True,propose_resample,Resample,,0.280583477987,19.212622818,2.0
76,76,-1.94130359598,0,,0.0836842093601,False,propose_addition,Addition,,0.390104545979,19.602872028,2.0
77,77,-1.94130359598,0,,0.0798343627205,False,propose_reinit_pose,ReinitPoseMove,,0.0998737910413,19.702893049,0.0
78,78,-1.94130359598,0,,0.0761616261864,,propose_addition,Addition,,0.451871083002,20.154968634,5.0
79,79,-1.94130359598,0,,0.0726578519035,False,propose_addition,Addition,,0.477600888,20.632700678,3.0
80,80,-1.94130359598,0,,0.0693152668552,,propose_rotate,,,0.000230546982493,20.633077573,
81,81,-1.99904912296,0,,0.0661264556181,True,propose_reinit_pose,ReinitPoseMove,,0.0999624030082,20.733125743,0.0
82,82,-3.29235744276,0,,0.0630843439115,True,propose_deletion,Deletion,,0.0779139450169,20.811171059,0.0
83,83,-3.29235744276,0,,0.0601821829032,,propose_addition,Addition,,0.465148315998,21.276471235,5.0
